Year,Movie,Revenue,Budget,Summary,Director,Writers,Stars,Production
2000,Beyond the Mat,"$2,047,570","$500,000",A heartfelt documentary focusing on the lives of professional wrestlers and how their sport is not fake.,Barry W. Blaustein,['Barry W. Blaustein'],"['Terry Funk', 'Mick Foley', 'Jake Roberts']","['Universal Family and Home Entertainment', 'Imagine Entertainment', 'Lions Gate Films']"
1999,Ghost Dog: The Way of the Samurai,"$255,412",NA,An African American mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,Jim Jarmusch,['Jim Jarmusch'],"['Forest Whitaker', 'Henry Silva', 'John Tormey']","['Pandora Filmproduktion', 'Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland (ARD)', 'Degeto Film']"
1987,"The Year My Voice Broke,","$213,901",NA,"During the year 1962, a young prepubescent boy in rural Australia watches painfully as his best friend and first love, an older girl, blossoms into womanhood and falls for a thuggish rugby ...
                    See full summary »",John Duigan,['John Duigan'],"['Noah Taylor', 'Loene Carmen', 'Ben Mendelsohn']",['Kennedy Miller Productions']
1961,Splendor in the Grass,NA,NA,A fragile Kansas girl's love for a handsome young man from the town's most powerful family drives her to heartbreak and madness.,Elia Kazan,['William Inge'],"['Natalie Wood', 'Warren Beatty', 'Pat Hingle']","['Warner Bros.', 'Newton Productions', 'NBI Productions']"
1983,My Tutor,"$22,587,000",NA,A rich father hires a tutor for his son. The son is a horny teenager and the tutor is a gorgeous blonde. Complications ensue.,George Bowers,['Joe Roberts'],"['Matt Lattanzi', 'Caren Kaye', 'Kevin McCarthy']","['Crown International Pictures', 'Marimark Productions']"
1962,"The Legend of Lobo,",NA,NA,"Tells the life story of a wolf named Lobo. He grows from a playful, curious cub into a wolf with a huge bounty on his head. Along the way he makes friends with deer, tangles with ...
                    See full summary »",NA,"['Dwight Hauser', 'James Algar']","['Rex Allen', 'Ingvald Lieberkind']","['Cangary', 'Walt Disney Productions']"
1968,"The Killing of Sister George,",NA,NA,"George lives with her lover, Childie and plays a cheerful district nurse in a BBC soap opera. However, her character is to be killed off, and George realises that the only other job she can...
                    See full summary »",Robert Aldrich,"['Frank Marcus', 'Lukas Heller']","['Beryl Reid', 'Susannah York', 'Coral Browne']","['Palomar Pictures (I)', 'Associates & Aldrich Company, The']"
1948,Key Largo,NA,NA,"A man visits his old friend's hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",John Huston,"['Richard Brooks', 'John Huston']","['Humphrey Bogart', 'Edward G. Robinson', 'Lauren Bacall']",['Warner Bros.']
1954,Jail Bait,NA,NA,Vic Brady draws young Don Gregor into a life of crime. He then blackmails Gregor's plastic surgeon father into fixing up his face so he can evade the cops.,Edward D. Wood Jr.,"['Alex Gordon', 'Edward D. Wood Jr.']","['Lyle Talbot', 'Dolores Fuller', 'Herbert Rawlinson']",['Howco Productions Inc.']
1961,It Happened Here,NA,NA,NA,NA,NA,NA,NA
1967,I'll Never Forget What's 'is Name,NA,NA,"Advertising golden boy Andrew Quint is fed up with his fabulously successful life. In very dramatic fashion, he quits his job to return to writing for a small literary magazine. He wants to...
                    See full summary »",Michael Winner,['Peter Draper'],"['Oliver Reed', 'Orson Welles', 'Carol White']","['Scimitar Productions', 'Universal Pictures']"
1989,For All Mankind,"$770,132",NA,"This movie documents the Apollo missions perhaps the most definitively of any movie under two hours. Al Reinert watched all the footage shot during the missions--over 6,000,000 feet of it, ...
                    See full summary »",Al Reinert,NA,"['Jim Lovell', 'Kenneth Mattingly', 'Russell Schweickart']","['Apollo Associates', 'FAM Productions']"
1977,Cross of Iron,NA,"$6,000,000","In 1943, in the Russian front, the decorated leader Rolf Steiner is promoted to Sergeant after another successful mission. Meanwhile the upper-class and arrogant Prussian Captain Hauptmann ...
                    See full summary »",Sam Peckinpah,"['Julius J. Epstein', 'Walter Kelley']","['James Coburn', 'Maximilian Schell', 'James Mason']","['Anglo-EMI Productions Ltd.', 'Rapid Film', 'Terra-Filmkunst']"
1956,Bride of the Monster,NA,"$70,000",A mad doctor attempts to create atomic supermen.,Edward D. Wood Jr.,"['Edward D. Wood Jr.', 'Alex Gordon']","['Bela Lugosi', 'Tor Johnson', 'Tony McCoy']",['Rolling M. Productions']
1950,Born Yesterday,NA,NA,A million dollar Tycoon hires a tutor to teach his lover proper etiquette.,George Cukor,"['Garson Kanin', 'Albert Mannheimer']","['Judy Holliday', 'William Holden', 'Broderick Crawford']",['Columbia Pictures Corporation']
1984,Birdy,NA,NA,After two friends return home from the Vietnam War one becomes mentally unstable and obsesses with becoming a bird.,Alan Parker,"['William Wharton', 'Sandy Kroopf']","['Matthew Modine', 'Nicolas Cage', 'John Harkins']","['A&M; Films', 'TriStar Pictures']"
1988,And God Created Woman,"$717,376",NA,"In this variation on director Vadim's own, more acclaimed Et Dieu Créa La Femme (1956, the same title in French), the vamp Robin Shea marries charming carpenter Billy Moran, only to get out...
                    See full summary »",Roger Vadim,['R.J. Stewart'],"['Rebecca De Mornay', 'Vincent Spano', 'Frank Langella']","['Vestron Pictures', 'Crow Productions']"
1963,Blood Feast,"$4,000,000","$24,500","An Egyptian caterer kills various women in suburban Miami to use their body parts to bring to life a dormant Egyptian goddess, while an inept police detective tries to track him down.",Herschell Gordon Lewis,['Allison Louise Downe'],"['William Kerwin', 'Mal Arnold', 'Connie Mason']",['Friedman-Lewis Productions']
1967,"Charlie, the Lonesome Cougar",NA,NA,"When a cougar raised by a group of loggers in the Pacific Northwest reverts to its natural instincts, the consequence could threaten its life.",Winston Hibler,"['Jack Speirs', 'Jack Speirs']","['Ron Brown', 'Brian Russell', 'Linda Wallace']",['Walt Disney Productions']
1965,Color Me Blood Red,NA,"$50,000",A crackpot artist kills various people to use their blood as his new crimson red color for his paintings.,Herschell Gordon Lewis,['Herschell Gordon Lewis'],"['Gordon Oas-Heim', 'Candi Conder', 'Elyn Warner']",['Box Office Spectaculars']
1983,Never Cry Wolf,NA,NA,"A government researcher, sent to research the ""menace"" of wolves in the north, learns about the true beneficial and positive nature of the species.",Carroll Ballard,"['Farley Mowat', 'Curtis Hanson']","['Charles Martin Smith', 'Brian Dennehy', 'Zachary Ittimangnaq']","['Walt Disney Pictures', 'Amarok Productions Ltd.']"
1970,"The Night Visitor,",NA,NA,"A man named Salem escapes from an insane asylum where he was confined for an axe-murder. Falsely convicted under a plea of ""guilty due to insanity"", he does not plan to let his sister and ...
                    See full summary »",Laslo Benedek,"['Guy Elmes', 'Samuel Roeca']","['Max von Sydow', 'Trevor Howard', 'Liv Ullmann']","['Glazier', 'Hemisphere Pictures']"
1947,"The Perils of Pauline,",NA,NA,The real life story of actress Pearl White during her rise to fame in silent serials.,George Marshall,"['P.J. Wolfson', 'Frank Butler']","['Betty Hutton', 'John Lund', 'Billy De Wolfe']",['Paramount Pictures']
1961,"Raisin in the Sun, A",NA,NA,NA,NA,NA,NA,NA
1964,Two Thousand Maniacs!,NA,"$65,000",Six people are lured into a small Deep South town for a Centennial celebration where the residents proceed to kill them one by one as revenge for the town's destruction during the Civil War.,Herschell Gordon Lewis,['Herschell Gordon Lewis'],"['Connie Mason', 'William Kerwin', 'Jeffrey Allen']","['Jacqueline Kay', 'Friedman-Lewis Productions']"
1998,Brown's Requiem,"$3,077",NA,"Recovering alcoholic ex-LAPD private detective Fritz Brown is hired by caddie ""Fat Dog"" to follow his kid sister, who is holed up with an old sugar daddy. The trail leads to his old police boss Cathcart, and the bodies start to pile up.",Jason Freeland,"['Jason Freeland', 'James Ellroy']","['Michael Rooker', 'Big Daddy Wayne', 'Jack Wallace']","['J&T; Productions', 'Savvy Lad', ""Brown's Requiem""]"
2000,"The Closer You Get,",NA,NA,NA,NA,NA,NA,NA
2000,Mission to Mars,"$60,874,615","$90,000,000","When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting a unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",Brian De Palma,"['Lowell Cannon', 'Jim Thomas']","['Tim Robbins', 'Gary Sinise', 'Don Cheadle']","['Touchstone Pictures', 'Spyglass Entertainment', 'Jacobson Company, The']"
2000,"The Ninth Gate,","SGD 90,000","$38,000,000","A rare book dealer, while seeking out the last two copies of a demon text, gets drawn into a conspiracy with supernatural overtones.",Roman Polanski,"['Arturo Pérez-Reverte', 'John Brownjohn']","['Johnny Depp', 'Frank Langella', 'Lena Olin']","['Artisan Entertainment', 'R.P. Productions', 'Orly Films']"
2000,Condo Painting,NA,NA,NA,NA,NA,NA,NA
1999,East-West (Est-ouest),NA,NA,NA,NA,NA,NA,NA
